xmin,xmax,ymin,ymax
-650,-550,-650,-550
-650,-550,550,650
550,650,-650,-550
550,650,550,650
-550,-450,-350,-250
-550,-450,-50,50
-550,-450,250,350
-350,-250,-550,-450
-350,-250,-350,-250
-350,-250,-150,-50
-350,-250,50,150
-350,-250,250,350
-350,-250,450,550
-150,-50,-350,-250
-150,-50,-150,-50
-150,-50,50,150
-150,-50,250,350
-50,50,-550,-450
-50,50,450,550
50,150,-350,-250
50,150,-150,-50
50,150,50,150
50,150,250,350
250,350,-550,-450
250,350,-350,-250
250,350,-150,-50
250,350,50,150
250,350,250,350
250,350,450,550
450,550,-350,-250
450,550,-50,50
450,550,250,350
550,650,-650,-550
550,650,550,650
